2018-01-01 13:50:57,198 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-01-01 14:03:45,222 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\pom.xml
2018-01-01 14:03:47,361 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.org.sandeep:TwitterApiPractice:0.0.1-SNAPSHOT @ C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\pom.xml.
2018-01-01 14:03:48,913 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TwitterApiPractice/src/main/java
2018-01-01 14:03:48,914 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TwitterApiPractice/src/main/resources
2018-01-01 14:03:48,915 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TwitterApiPractice/src/test/java
2018-01-01 14:03:53,518 [Worker-24] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 8 sec
2018-01-01 14:03:54,307 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:03:54,319 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-01 14:03:54,325 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:03:54,329 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:04:27,587 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.org.sandeep:TwitterApiPractice:0.0.1-SNAPSHOT @ C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\pom.xml.
2018-01-01 14:04:29,885 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:04:29,890 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-01 14:04:29,893 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:04:29,895 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:04:29,896 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of TwitterApiPractice
2018-01-01 14:04:29,900 [Worker-29] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for TwitterApiPractice
2018-01-01 14:04:29,906 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:04:31,437 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:04:31,440 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-01 14:04:31,442 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:04:31,445 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:06:00,157 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:00,168 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-01 14:06:00,170 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:00,174 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:06:04,955 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:04,963 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-01-01 14:06:04,989 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:04,993 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:06:22,124 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:22,129 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-01-01 14:06:22,140 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-01 14:06:22,144 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\src\test\resources
2018-01-01 14:06:47,632 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-01-01 14:06:48,660 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.org.sandeep:TwitterApiPractice:0.0.1-SNAPSHOT @ C:\Apps\pMyDataStoragee\ALL_Workspace_Practice\TwitterPractice\TwitterApiPractice\pom.xml.
2018-01-01 14:06:50,768 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TwitterApiPractice/src/main/java
